	 Preparation						Cataloging Metadata					Digitization				Exposure to OSCA Portal				5.Integration/Dissemination in International Portals	
	Total	Endemics	Mollusks	Others	Dry Specimen	Wet Specimen	Total	MIDS Level 0	MIDS Level 1	MIDS Level 2	MIDS Level 3	Total	Min. One Picture	Picture Gallery	Multimedia Available	Total	Endemics	Mollusks	Others	Total	Overview
	125151	7831	100892	710	103892	305	125151	12500	93095	19104	452	5421	4635	786	0	15853	4076	11067	710	94095	<b>68.363</b> on GBIF, <b>0</b> on GeoCase, <b>0</b> on BOLD, <b>0</b> on NCBI, <b>0</b> on KulturPool, <b>0</b> on Europeana
