Header Definitions at https://dwc.tdwg.org/terms/                                                             Occurence Based Data												Record Level Data			Event Data	Taxonomic Data																Location-Based Data											Geological Context																	
dwc:recordNumber	dwc:occurrenceID	dwc:scientificName	dwc:recordedBy	dwc:institutionID	dwc:institutionCode	dwc:collectionID	dwc:collectionCode	dwc:collectionNumber	dwc:otherCatalogNumbers	dwc:occurrence_remarks	dwc:associatedMedia	dc:type	dwc:basisOfRecord	dwc: dynamicProperties	dwc:eventDate	dwc:taxonID	dwc:verbatimIdentification	dwc:acceptedNameUsage	dwc:speciesName	dwc:kingdom	dwc:phylum	dwc:class	dwc:order	dwc:family	dwc:genus	dwc:specificEpithet	dwc:infraspecificEpithet	dwc:scientificNameAuthorship	dwc:identificationQualifier	dwc:vernacularName	dwc:identifiedBy	dwc:locality	dwc:decimalLatitude	dwc:decimalLongitude	dwc:country	dwc:stateProvince	dwc:county	dwc:habitat	dwc:minimumElevationInMeters	dwc:maximumElevationInMeters	dwc:coordinateUncertaintyInMeters	dwc:georeferenceRemarks	dwc:geologicalContextID	dwc:earliestEonOrLowestEonothem	dwc:latestEonOrHighestEonothem	dwc:earliestEraOrLowestErathem	dwc:latestEraOrHighestErathem	dwc:earliestPeriodOrLowestSystem	dwc:latestPeriodOrHighestSystem	dwc:earliestEpochOrLowestSeries	dwc:latestEpochOrHighestSeries	dwc:earliestAgeOrLowestStage	dwc:earliestAgeOrLowestStage	dwc:lowestBiostratigraphicZone	dwc:highestBiostratigraphicZone	dwc:lithostratigraphicTerms	dwc:group	dwc:formation	dwc:member	dwc:bed
TLM-0039678	B0A614D2-7B02-4A18-8B11-F5A24FCEB50E	Monachoides incarnatus (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen			1410788					Preserved Specimen		13.10.2023																	EUROPE Kärnten Wolfsberg Umgebung [Lat: 46.84205293 x Long: 14.83856231]																												
TLM-0175452	4493AD82-D872-47CE-9800-327D5259EA6D	Monachoides incarnatus (O.F. Müller, 1774)	Stummer A. & B.		TLMF Tiroler Landesmuseen			1410833					Preserved Specimen		13.10.2023																	EUROPE Niederösterreich Aggsbach, Kartause, E Aggsbach-Dorf [Lat: 48.29408591 x Long: 15.42456582]																												
TLM-0660559	C8CB9151-9ED8-4FFF-BA44-B47FE3D91F87	Monachoides incarnatus (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen			1410912					Preserved Specimen		13.10.2023																	EUROPE Tirol Gurgltal [Lat: 47.27771865 x Long: 10.79355776]																												
TLM-0244927	66357391-11D8-466B-BCFA-65E8D5D3E96F	Monachoides incarnatus (O.F. Müller, 1774)	Wiedemayr L.		TLMF Tiroler Landesmuseen			1410921					Preserved Specimen		13.10.2023																	EUROPE Tirol Innsbruck-Mühlau [Lat: 47.28425108 x Long: 11.41308099]																												
TLM-0388518	8087A44C-C86F-4DA1-A292-CD3B45575CF2	Monachoides incarnatus (O.F. Müller, 1774)	Wiedemayr L.		TLMF Tiroler Landesmuseen			1410942					Preserved Specimen		13.10.2023																	EUROPE Tirol Pfons (NE Matrei am Brenner) [Lat: 47.1506583 x Long: 11.46119982]																												
TLM-0798725	30489664-1399-4323-9609-90EFD3FE5D58	Monachoides incarnatus (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen			1410638					Preserved Specimen		13.10.2023																	EUROPE Tirol Nikolsdorf, Tal [Lat: 46.78549356 x Long: 12.90548623]																												
TLM-0353871	C8B7F450-E43A-49EA-8836-84C88115198E	Monachoides incarnatus (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen			1410620					Preserved Specimen		13.10.2023																	EUROPE Tirol Mittewald [Lat: 46.77178348 x Long: 12.60273993]																												
TLM-0467861	85B3BC6C-AB76-46A6-B28F-AA82C99FCA8F	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1411357					Preserved Specimen		13.10.2023																	EUROPE Oberösterreich Hallstatt [Lat: 47.56236319 x Long: 13.64926279]																												
TLM-0953942	2E744A56-AC75-4428-ADF8-22EE61FB43EA	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1411361					Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Bürs, Bürser Schlucht [Lat: 47.14445965 x Long: 9.79284436]																												
TLM-0935298	A382BE61-AE88-4D7D-9E45-E26FABEBD923	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1411364					Preserved Specimen		13.10.2023																	EUROPE Tirol Biberwier - Lermoos [Lat: 47.3927896 x Long: 10.88841945]																												
TLM-0286983	39F0D1C1-C502-482B-BE15-B4D4A89C562F	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1411417					Preserved Specimen		13.10.2023																	EUROPE Tirol Kufstein NW, Weg zum Längsee [Lat: 47.60129459 x Long: 12.15534747]																												
TLM-0945728	F478A25D-33E4-45BA-98DA-5FD6BE2BA526	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1411406					Preserved Specimen		13.10.2023																	EUROPE Tirol Arzl, Innsbruck [Lat: 47.28019706 x Long: 11.43674612]																												
TLM-0261004	E22B7CC9-7014-4376-A417-5ED222B4A54B	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1411452					Preserved Specimen		13.10.2023																	EUROPE Tirol Ehrenberger Klause, unter Ruine [Lat: 47.46446739 x Long: 10.71949393]																												
TLM-0601477	B4C708A7-1222-4C4F-84E0-A4D2D3804C76	Monachoides incarnatus (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen			1411073					Preserved Specimen		13.10.2023																	EUROPE Steiermark Rabendorf [Lat: 47.3229124 x Long: 15.71036071]																												
TLM-0462439	0AFD275B-CC28-4D23-A9C6-A00F895994D5	Monachoides incarnatus (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen			1411284					Preserved Specimen		13.10.2023																	EUROPE Tirol Nörsach [Lat: 46.77220968 x Long: 12.92019546]																												
TLM-0317821	010FCBF1-B232-42B8-8E3D-CD0B4AD8D6C5	Monachoides incarnatus (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen			1411248					Preserved Specimen		13.10.2023																	EUROPE Tirol Göriach (Lienz NE) [Lat: 46.83428441 x Long: 12.83185959]																												
TLM-0011040	571C0F44-1155-438A-B309-F4347DE07E16	Monachoides incarnatus (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen			1411265					Preserved Specimen		13.10.2023																	EUROPE Tirol Kreithof bei Tristach [Lat: 46.79802501 x Long: 12.81834662]																												
TLM-0861169	FE7C3958-7F6B-4058-8A38-7CD276C79082	Monachoides incarnatus (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen			1411278					Preserved Specimen		13.10.2023																	EUROPE Tirol Matrei i.O., Prosseggklamm [Lat: 47.02158199 x Long: 12.52842128]																												
TLM-0374444	860F5506-B9C3-4161-9928-0C71508FA50F	Monachoides incarnatus (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen			1411234					Preserved Specimen		13.10.2023																	EUROPE Kärnten Eberstein [Lat: 46.80811196 x Long: 14.55728173]																												
TLM-0011133	2D86C974-1FBE-4BAF-8FDC-9C30A91F3221	Monachoides incarnatus (O.F. Müller, 1774)	Kofler A.		TLMF Tiroler Landesmuseen			1411226					Preserved Specimen		13.10.2023																	EUROPE Tirol Brühl b. Matrei [Lat: 46.968806 x Long: 12.5488171]																												
TLM-0764418	0ECF1333-D858-4C79-9DA7-39A1663C13C5	Monachoides incarnatus (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen			1409527					Preserved Specimen		13.10.2023																	EUROPE Tirol Lavant, Schmidlgrube [Lat: 46.79651566 x Long: 12.84205198]																												
TLM-0611204	89C1C754-24A1-4CF8-9CD9-639004A4A157	Monachoides incarnatus (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen			1409591					Preserved Specimen		13.10.2023																	EUROPE Kärnten Plöckenpass, Heldenfriedhof [Lat: 46.6231254 x Long: 12.9481035]																												
TLM-0326406	65DA4F59-E283-45D5-AAA6-C7DC7DE9D11B	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1409724					Preserved Specimen		13.10.2023																	EUROPE Tirol Kundler Klamm [Lat: 47.45664423 x Long: 11.99074298]																												
TLM-0944245	3494DB37-38CF-49D5-AFAB-0F78EF40C1AD	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1409701					Preserved Specimen		13.10.2023																	EUROPE Tirol Hochfinstermünz [Lat: 46.93014715 x Long: 10.52865475]																												
TLM-0281167	D9B732F4-4F03-4B75-BAD4-3193C9F4A0B6	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1409719					Preserved Specimen		13.10.2023																	EUROPE Tirol Ehrenberger Klause, unter Ruine [Lat: 47.46446739 x Long: 10.71949393]																												
TLM-0918266	E8DD72FE-389C-4851-BB07-3C7BE2352E15	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1409728					Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Gebhardsberg [Lat: 47.49003958 x Long: 9.74701077]																												
TLM-0103671	C8C617CC-84F3-4393-9560-8BF6A1F9AE31	Monachoides incarnatus (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen			1409642					Preserved Specimen		13.10.2023																	EUROPE Tirol Zedlach b. Matrei O, Tuffbad [Lat: 47.0016803 x Long: 12.49406219]																												
TLM-0531724	DA1B6509-96AC-4BC7-AA19-4CC7C0DEEF80	Monachoides incarnatus (O.F. Müller, 1774)	Kofler A.		TLMF Tiroler Landesmuseen			1409625					Preserved Specimen		13.10.2023																	EUROPE Kärnten Tuffbad, Lesachtal [Lat: 46.7237082 x Long: 12.76663899]																												
TLM-0653260	D3E0BBAE-A689-4551-A581-8806478D8BA6	Monachoides incarnatus (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen			1409616					Preserved Specimen		13.10.2023																	EUROPE Tirol Tassenbach, E Sillian [Lat: 46.74883738 x Long: 12.46379614]																												
TLM-0054840	F7023D3C-C6AF-40CC-8208-B53F50578E73	Monachoides incarnatus (O.F. Müller, 1774)	Kofler A.		TLMF Tiroler Landesmuseen			1409629					Preserved Specimen		13.10.2023																	EUROPE Tirol Virgen, Iselschlucht [Lat: 47.00955993 x Long: 12.41721153]																												
TLM-0840253	18401F27-78E4-463A-8926-D589B0884906	Monachoides incarnatus (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen			1409669					Preserved Specimen		13.10.2023																	EUROPE Tirol Kaisergebirge, Gaisbachtal [Lat: 47.55266474 x Long: 12.18523264]																												
TLM-0872091	6A0870C7-E1E8-4C0A-A4B9-A9C0A2364D5A	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1409882					Preserved Specimen		13.10.2023																	EUROPE Tirol Schnann [Lat: 47.15218687 x Long: 10.38044661]																												
TLM-0758595	F1DF1D3C-2E23-4722-8202-205E0D286644	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1409878					Preserved Specimen		13.10.2023																	EUROPE Tirol Gurgltal [Lat: 47.27771865 x Long: 10.79355776]																												
TLM-0421680	6BB13BCB-4883-4D93-A637-72BCBBCAD0FE	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1409850					Preserved Specimen		13.10.2023																	EUROPE Tirol Ehrenberger Klause [Lat: 47.46446739 x Long: 10.71949393]																												
TLM-0590288	6515A998-DCD4-4858-860F-2ACA33F70DDD	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1409819					Preserved Specimen		13.10.2023																	EUROPE Tirol Kufstein NE, Kaisertalaufstieg [Lat: 47.59400914 x Long: 12.18779415]																												
TLM-0983668	136C718A-E5A8-499B-A04E-F2E8ABD5BD26	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1409794					Preserved Specimen		13.10.2023																	EUROPE Tirol Innsbruck-Wilten, Mentlberg [Lat: 47.24965821 x Long: 11.37130827]																												
TLM-0824848	71F8CDAF-C2AA-4925-93D0-5A25ED286CB7	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1409922					Preserved Specimen		13.10.2023																	EUROPE Tirol Virgen, Ruine Rabenstein [Lat: 47.00915756 x Long: 12.46637106]																												
TLM-0042549	50009C5A-1126-471C-9E9E-C05AAC49F439	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1409907					Preserved Specimen		13.10.2023																	EUROPE Tirol Vils E, (alten) Ulrichsbrücke [Lat: 47.54603878 x Long: 10.66243261]																												
TLM-0975985	CECBEC58-71EC-40A2-8D12-4EDC99DF6E13	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1409916					Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Feldkirch, Schattenburg [Lat: 47.23635817 x Long: 9.59929079]																												
TLM-0453029	248B0989-A538-4532-9F05-8183AD4EB2FC	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410007					Preserved Specimen		13.10.2023																	EUROPE Tirol Schwoich [Lat: 47.54423551 x Long: 12.14029223]																												
TLM-0945798	58E4CBDD-9301-44C2-8EE4-B915171B3DAF	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1409985					Preserved Specimen		13.10.2023																	EUROPE Tirol Matrei am Brenner N, Schlossberg, Tunnel unter Schlossberg [Lat: 47.13854491 x Long: 11.45573348]																												
TLM-0599253	8C752CB6-7199-427B-9471-92CCA40F62BA	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410024					Preserved Specimen		13.10.2023																	EUROPE Tirol Vorderer Zemmgrund, SW Ginzling [Lat: 47.06071997 x Long: 11.74970895]																												
TLM-0541409	566722E1-9AE2-45BF-AB69-F1F506A821A8	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410013					Preserved Specimen		13.10.2023																	EUROPE Tirol Stans [Lat: 47.36950991 x Long: 11.71789259]																												
TLM-0189611	F4BEEE14-D219-442F-A24F-59D6867A1C7E	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410019					Preserved Specimen		13.10.2023																	EUROPE Tirol Wattens N, Walder Alm [Lat: 47.33829558 x Long: 11.58317327]																												
TLM-0899627	A55BB7C7-8C8A-48E7-AD91-BBC384E6A4FA	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410047					Preserved Specimen		13.10.2023																	EUROPE Tirol Landeck, Schloss Landeck [Lat: 47.13540665 x Long: 10.5686304]																												
TLM-0107954	F7753E78-A4E1-4768-A998-6377BA184D04	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410032					Preserved Specimen		13.10.2023																	EUROPE Tirol Kundler Klamm [Lat: 47.45664423 x Long: 11.99074298]																												
TLM-0212604	D92F2E66-F491-4211-B0EF-03E5E7B328BB	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410153					Preserved Specimen		13.10.2023																	EUROPE Tirol Innsbruck-Wilten, Bergisel-Aufstieg [Lat: 47.25118394 x Long: 11.40069187]																												
TLM-0141573	E34236B5-E8E2-40AB-AD8C-F0C5A5E218F8	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410140					Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Feldkirch, Kapf (unter dem Ardetzenberg) [Lat: 47.25198137 x Long: 9.60238069]																												
TLM-0011204	F5CEA47C-D3CF-4ACD-9914-17EB595EA63E	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410092					Preserved Specimen		13.10.2023																	EUROPE Tirol Reith im Alpbachtal [Lat: 47.41662529 x Long: 11.87615097]																												
TLM-0014592	9D309C30-504A-49C6-90E9-E3FF312A6910	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410105					Preserved Specimen		13.10.2023																	EUROPE Tirol Kundler Klamm [Lat: 47.45664423 x Long: 11.99074298]																												
TLM-0021633	554A0231-0E24-4B42-A4A6-3CBCCA1B397A	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410062					Preserved Specimen		13.10.2023																	EUROPE Tirol Steinberg am Rofan E - Brandenbergtal (Pinegg) [Lat: 47.52157705 x Long: 11.89633459]																												
TLM-0229882	9A0AEE1B-1EB7-4A1D-A0BF-C2414404D1D0	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410215					Preserved Specimen		13.10.2023																	EUROPE Vorarlberg Bludenz E, Montikel [Lat: 47.1590999 x Long: 9.8290622]																												
TLM-0178436	39000A0E-4B2B-47F7-9D07-FB218955D77B	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410318					Preserved Specimen		13.10.2023																	EUROPE Tirol Halltal, Bergkapelle - Bettelwurfbründl [Lat: 47.3212542 x Long: 11.51142955]																												
TLM-0603060	3952D12A-9C6B-4CBB-85A1-250EB8A14AA6	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410320					Preserved Specimen		13.10.2023																	EUROPE Tirol Gurgltal [Lat: 47.27771865 x Long: 10.79355776]																												
TLM-0393726	2F511170-D486-4A63-9930-11114EF65396	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410296					Preserved Specimen		13.10.2023																	EUROPE Tirol Innsbruck-Wilten, Mentlberg [Lat: 47.24965821 x Long: 11.37130827]																												
TLM-0795306	94E2F0B8-B016-4DAE-9913-1D60C211B126	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410293					Preserved Specimen		13.10.2023																	EUROPE Tirol Arzl, Innsbruck [Lat: 47.28019706 x Long: 11.43674612]																												
TLM-0922101	7487960C-224F-466E-A69F-3DEB4C8D6F27	Monachoides incarnatus (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen			1410269					Preserved Specimen		13.10.2023																	EUROPE Tirol Längsee [Lat: 47.60135246 x Long: 12.15528309]																												
TLM-0372277	F0CB538E-D018-443A-9D4A-1336F9ADADD3	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410379					Preserved Specimen		13.10.2023																	EUROPE Tirol Zirl N, Weg Zur Schönen Aussicht [Lat: 47.27730375 x Long: 11.24474287]																												
TLM-0473576	2435B589-08CE-4919-8F29-83DD0540FECA	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410384					Preserved Specimen		13.10.2023																	EUROPE Tirol Hochfinstermünz [Lat: 46.93014715 x Long: 10.52865475]																												
TLM-0685255	0579D45D-4AF5-4F97-97E5-05185E579AD3	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410400					Preserved Specimen		13.10.2023																	EUROPE Tirol Achensee E, Achenseehof S [Lat: 47.48362685 x Long: 11.71405971]																												
TLM-0073647	15C6FDD4-B575-47ED-B669-B8C1FBE8B12A	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410356					Preserved Specimen		13.10.2023																	EUROPE Tirol Halltal, Bergkapelle - Bettelwurfbründl [Lat: 47.3212542 x Long: 11.51142955]																												
TLM-0668465	2470095F-CB52-4ADF-98CA-5E75FA8F8F09	Monachoides incarnatus (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen			1410447					Preserved Specimen		13.10.2023																	EUROPE Tirol Arzl, Innsbruck [Lat: 47.28019706 x Long: 11.43674612]																												
TLM-0809065	6A9762DB-EE9D-4B17-8FEA-BAFFD554555E	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410443					Preserved Specimen		13.10.2023																	EUROPE Tirol Barwies, Moosalm [Lat: 47.31045642 x Long: 10.96078545]																												
TLM-0678895	E26BE9C8-1A11-49F0-B63B-F3083B23A942	Monachoides incarnatus (O.F. Müller, 1774)	Nisters H.		TLMF Tiroler Landesmuseen			1410439					Preserved Specimen		13.10.2023																	EUROPE Tirol Kufstein NE, Kaisertalaufstieg [Lat: 47.59400914 x Long: 12.18779415]																												
TLM-0380710	F2FF6BCE-E8FC-41B7-9454-F57267D4900B	Monachoides incarnatus (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen			1410470					Preserved Specimen		13.10.2023																	EUROPE Tirol Abfaltersbach, Lechnerhof [Lat: 46.7567285 x Long: 12.52865732]																												
TLM-0432333	61B90C71-CD50-4E5D-99AF-01034699C55E	Monachoides incarnatus (O.F. Müller, 1774)	undefined		TLMF Tiroler Landesmuseen			1410486					Preserved Specimen		13.10.2023																	EUROPE Kärnten Berg im Drautal, Ochsenschluchtklamm [Lat: 46.7270435 x Long: 13.1284368]																												
TLM-0105253	7FA73672-490C-4373-8745-968C392E3E20	Xerolenta obvia obvia (Menke, 1828)	Nisters H.		TLMF Tiroler Landesmuseen			1410350					Preserved Specimen		13.10.2023																	EUROPE Tirol Zirl, Ehnbachklamm [Lat: 47.27862123 x Long: 11.2572661]																												
TLM-0891373	FA5857FD-2540-4F02-8171-EAC7957DD773	Xerolenta obvia obvia (Menke, 1828)	Nisters H.		TLMF Tiroler Landesmuseen			1409864					Preserved Specimen		13.10.2023																	EUROPE Tirol Nauders SE, GoldseeHütte - Nauders [Lat: 46.87492737 x Long: 10.53135842]																												
TLM-0556166	5F8745DE-05B9-4301-AF9B-6359D229109C	Xerolenta obvia obvia (Menke, 1828)	Kofler A.		TLMF Tiroler Landesmuseen			1409476					Preserved Specimen		13.10.2023																	EUROPE Tirol Brühl b. Matrei [Lat: 46.968806 x Long: 12.5488171]																												
TLM-0781289	C20B42C1-EDA0-40D4-A1A7-FB0E5DE67841	Xerolenta obvia obvia (Menke, 1828)	undefined		TLMF Tiroler Landesmuseen			1409478					Preserved Specimen		13.10.2023																	EUROPE Tirol Brühl b. Matrei, a. Iselufer [Lat: 46.968806 x Long: 12.5488171]																												
TLM-0947996	56590A24-DA11-4AE4-96F6-761501EDA9D5	Xerolenta obvia obvia (Menke, 1828)	undefined		TLMF Tiroler Landesmuseen			1411244					Preserved Specimen		13.10.2023																	EUROPE Kärnten Gailbergsattel, S Oberdrauburg [Lat: 46.71771002 x Long: 12.96704292]																												
TLM-0659383	617939DD-D37A-4573-9B67-1D202CEC07DA	Xerolenta obvia obvia (Menke, 1828)	undefined		TLMF Tiroler Landesmuseen			1411260					Preserved Specimen		13.10.2023																	EUROPE Tirol Kalsertal, Schleierfall [Lat: 46.95970918 x Long: 12.61933476]																												
TLM-0549240	628FD1A2-5B5A-45AA-B885-C2CDE7C6EBC8	Xerolenta obvia obvia (Menke, 1828)	Kofler A.		TLMF Tiroler Landesmuseen			1411330					Preserved Specimen		13.10.2023																	EUROPE Tirol Lienz, Pfarrsiedlung [Lat: 46.82923812 x Long: 12.76898593]																												
TLM-0259455	6492EA15-06BD-4782-9E8A-529AC1BEA74D	Xerolenta obvia obvia (Menke, 1828)	undefined		TLMF Tiroler Landesmuseen			1410614					Preserved Specimen		13.10.2023																	EUROPE Tirol Matrei i.O., Prosseggklamm [Lat: 47.02158199 x Long: 12.52842128]																												
TLM-0588118	BE2EFA3C-7135-4B7E-9908-E0B8C406A288	Xerolenta obvia obvia (Menke, 1828)	Kofler A.		TLMF Tiroler Landesmuseen			1410756					Preserved Specimen		13.10.2023																	EUROPE Tirol Tristach [Lat: 46.81716547 x Long: 12.78738856]																												
TLM-0591507	712607E6-9D12-4A8A-9A38-2E7378689581	Xerolenta obvia obvia (Menke, 1828)	undefined		TLMF Tiroler Landesmuseen			1410769					Preserved Specimen		13.10.2023																	EUROPE Tirol Virgental, Obermauern, Burg [Lat: 47.00739077 x Long: 12.4399808]																												
TLM-0452527	5E1FCFF0-0FA5-433B-BED7-A8E7807D55F4	Xerolenta obvia obvia (Menke, 1828)	Kofler A.		TLMF Tiroler Landesmuseen			1410732					Preserved Specimen		13.10.2023																	EUROPE Tirol Stanz bei Landeck, Bauhof [Lat: 47.14920995 x Long: 10.55711836]																												
TLM-0566517	8B0E88BC-F2B6-4710-A6A4-8C78E2724A04	Xerolenta obvia obvia (Menke, 1828)	Stummer A. & B.		TLMF Tiroler Landesmuseen			1410815					Preserved Specimen		13.10.2023																	EUROPE Niederösterreich Gross-Weikersdorf, N Tulln [Lat: 48.47242336 x Long: 15.98329425]																												
TLM-0326500	63997AC5-35FE-424C-9C4E-90D42E393A25	Ciliella ciliata (Hartmann, 1821)	Stummer A. & B.		TLMF Tiroler Landesmuseen			1410866					Preserved Specimen		13.10.2023																	EUROPE Kärnten Obere Valentinalm, NW Plöckenpass [Lat: 46.622577 x Long: 12.92985678]																												
TLM-0703084	D34900AC-8181-4233-9540-1FE774353D9A	Ciliella ciliata (Hartmann, 1821)	Kofler A.		TLMF Tiroler Landesmuseen			1409498					Preserved Specimen		13.10.2023																	EUROPE Kärnten Gailtal, Untere Valentinalm [Lat: 46.622577 x Long: 12.92985678]																												
TLM-0755358	E6175E80-23FF-4F9D-8F6F-FED1065D825E	Ciliella ciliata (Hartmann, 1821)	undefined		TLMF Tiroler Landesmuseen			1409499					Preserved Specimen		13.10.2023																	EUROPE Kärnten Gailtal, Untere Valentinalm [Lat: 46.622577 x Long: 12.92985678]																												
TLM-0741973	5CADE1ED-52CC-402D-8EFB-5623B7CEA9B7	Euomphalia strigella (Draparnaud, 1801)	Kofler A.		TLMF Tiroler Landesmuseen			1409511					Preserved Specimen		13.10.2023																	EUROPE Tirol Kalkstein i. Villgraten [Lat: 46.80506074 x Long: 12.31832385]																												
TLM-0288919	0D4EA519-9533-4560-B7B3-7E5E72F2764B	Euomphalia strigella (Draparnaud, 1801)	Kofler A.		TLMF Tiroler Landesmuseen			1409553					Preserved Specimen		13.10.2023																	EUROPE Tirol Matrei i.O., Schloss Weißenstein [Lat: 47.00836013 x Long: 12.53814161]																												
TLM-0133803	90062A99-2BCC-4C28-A49D-EFF2E00D974A	Euomphalia strigella (Draparnaud, 1801)	Kofler A.		TLMF Tiroler Landesmuseen			1409582					Preserved Specimen		13.10.2023																	EUROPE Kärnten Oberdrauburg, Weg nach Zwickenberg [Lat: 46.75809196 x Long: 12.97854424]																												
TLM-0981425	D412A3F6-7AB5-42D7-A23E-36DC5D24AE0A	Euomphalia strigella (Draparnaud, 1801)	Kofler A.		TLMF Tiroler Landesmuseen			1409479					Preserved Specimen		13.10.2023																	EUROPE Tirol Daberklamm, N Kals [Lat: 47.029303 x Long: 12.6253526]																												
TLM-0046887	FB7927FA-38A8-4E78-87BE-FAD6A1BF57DB	Euomphalia strigella (Draparnaud, 1801)	Nisters H.		TLMF Tiroler Landesmuseen			1409860					Preserved Specimen		13.10.2023																	EUROPE Tirol Nauders N - 3. Tunnel, Umgebung der Festung [Lat: 46.92042019 x Long: 10.48980027]																												
