SCIENTIFIC NAME	PHISICAL SPECIMEN ID	ORGANIZATION	SPECIMENT TYPE	MODIFIED	LICENSE	LOCATION QUALITATIVE [QUANTITATIVE]	GEOLOGICAL AGE	COLLECTING NUMBER	COLLECTING AGENT	DATE COLLECTED	TYPE STATUS (Optional)	MEDIA
Cochlostoma septemspirale Klemm	25882	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Spumberg bei Adnet		25882	Klemm	21.7.1941		
Cochlostoma septemspirale Klemm	48801	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Aigen		48801	Mahler	23.7.1939		
Cochlostoma septemspirale Klemm	50855	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Unkelbachgraben, Weissenbachtal bei Strobl		50855	Klemm	3.9.1964		
Cochlostoma septemspirale Klemm	23284	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Kapuzinerberg Süd		23284	Klemm	29.10.1945		
Cochlostoma septemspirale Klemm	25286	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Adnet		25286	Klemm	22.11.1946		
Cochlostoma septemspirale Klemm	57862	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Wiestal bei Hallein		57862	Strouhal	29.6.1963		
Cochlostoma septemspirale Klemm	50840	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Weissenbachtal bei Strobl		50840	Klemm	3.9.1964		
Cochlostoma septemspirale Klemm	23312	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Kapuzinerberg Nord		23312	Klemm	3.11.1945		
Cochlostoma septemspirale Klemm	60222	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Strobl		60222	Klemm	3.1953		
Cochlostoma septemspirale Klemm	50860	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Weissenbachtal bei Strobl, 1. Straßenfelsen		50860	Klemm	3.9.1964		
Cochlostoma septemspirale Klemm	48807	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Monikapforte		48807	Mahler	8.1940		
Cochlostoma septemspirale Klemm	48797	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Parsch		48797	Mahler	17.7.1938		
Cochlostoma septemspirale Klemm	69068	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Gartenau		69068	Klemm	17.8.1975		
Cochlostoma septemspirale Klemm	27278	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Eugendorf Bahnhof		27278	Klemm	29.6.1948		
Cochlostoma septemspirale Klemm	29713	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Trockene Klammen bei Elsbethen		29713	Klemm	7.10.1951		
Cochlostoma septemspirale Klemm	25874	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, um das Gadorten-Moos bei Adnet		25874	Klemm	4.7.1947		
Cochlostoma septemspirale Klemm	42439	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg		42439	Klemm	1935		
Cochlostoma septemspirale Klemm	27307	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Marmorbrücke über Adnet		27307	Klemm	17.7.1948		
Cochlostoma septemspirale Klemm	27297	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Tunnel auf der Straße nach Adnet		27297	Klemm	17.7.1948		
Cochlostoma septemspirale Klemm	26920	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Fischachgenist bei Hallwang		26920	Klemm	26.6.1948		
Cochlostoma septemspirale Klemm	23017	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Mönchsbergplateau		23017	Klemm	30.8.1945		
Cochlostoma septemspirale Klemm	24978	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Pass Lueg		24978	Mahler	5.10.1946		
Cochlostoma septemspirale Klemm	25227	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Glasenbachklamm, 2. südlicher Quergraben		25227	Klemm	21.10.1946		
Cochlostoma septemspirale Klemm	25774	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Nonnberg		25774	Klemm	10.1945		
Cochlostoma septemspirale Klemm	23239	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Krottensee-Genist bei St. Gilgen		23239	Klemm	22.10.1945		
Cochlostoma septemspirale Klemm	23431	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Mönchsberg Süd		23431	Klemm	6.11.1945		
Cochlostoma septemspirale Klemm	50862	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Unkelbahgraben, Nock Südhang, Weissenbachtal		50862	Klemm	3.9.1964		
Cochlostoma septemspirale Klemm	48794	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Glasenbachklamm		48794	Mahler	2.8.1929		
Cochlostoma septemspirale Klemm	26619	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Fischachgenist bei Eugendorf		26619	Klemm	18.8.1948		
Cochlostoma septemspirale Klemm	24171	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Eugendorf oberhalb der Westbahn-Station		24171	Klemm	15.5.1946		
Cochlostoma septemspirale Klemm	29573	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Österreich, Salzburg, Falkensteinwand am Wolfgangsee		29573	Klemm	11.6.1951		
Cochlostoma septemspirale Klemm	23626	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Golling, Kirchhügel		23626	Klemm	11.3.1946		
Cochlostoma septemspirale Klemm	23219	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Scharfling, Felsen beim Bahnhof		23219	Klemm	22.10.1945		
Cochlostoma septemspirale Klemm	17289	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Hallein, Burgfried		17289	Klemm	17.17.1948		
Cochlostoma septemspirale Klemm	23903	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Henndorf		23903	Klemm	20.4.1946		
Cochlostoma septemspirale Klemm	26157	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Kapuzinerberg Süd oberhalb der Arenbergstraße		26157	Klemm	20.9.1947		
Cochlostoma septemspirale Klemm	23741	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Hallein, Bruderloch		23741	Klemm	31.3.1946		
Cochlostoma septemspirale Klemm	26956	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Seekirchen, Straße nach Eugendorf		26956	Klemm	5.6.1948		
Cochlostoma septemspirale Klemm	1123	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Salzburg, Schober bei Fuschl		1123	Klemm	8.1929		
